id,name,category,brand,price,rating,sales,stock,shop,shop_type,material,standard_code,tags,description,source,url,image,created_at
1,乐扣乐扣 耐热玻璃保鲜盒 630ml,保鲜盒,乐扣乐扣,45.9,4.9,12000,320,乐扣乐扣官方旗舰店,官方旗舰店,高硼硅玻璃,GB 4806.5-2016,食品级 耐高温 密封 玻璃 易清洗,可微波冷藏两用，四面锁扣密封,seed,https://example.com/item/1,,2026-09-01
2,特百惠 经典圆罐 500ml,保鲜盒,特百惠,39.0,4.8,8500,150,特百惠官方旗舰店,官方旗舰店,PP 塑料,GB 4806.7-2023,食品级 密封 塑料 轻便,经典保鲜圆罐 轻巧耐用,seed,https://example.com/item/2,,2026-09-01
3,茶花 加厚保鲜盒 3件套,保鲜盒,茶花,29.9,4.6,20000,500,茶花官方旗舰店,官方旗舰店,PP 塑料,GB 4806.7-2023,食品级 大容量 塑料 易清洗 环保,加厚耐用 三件组合装,seed,https://example.com/item/3,,2026-09-01
4,九阳 玻璃保鲜盒 方形 720ml,保鲜盒,九阳,55.0,4.7,6700,210,九阳官方旗舰店,官方旗舰店,高硼硅玻璃,GB 4806.5-2016,食品级 耐高温 玻璃 可微波 密封,方形玻璃饭盒 可进微波炉,seed,https://example.com/item/4,,2026-09-01
5,希乐 大容量塑料保鲜盒 2000ml,保鲜盒,希乐,25.5,4.5,15000,430,希乐官方旗舰店,官方旗舰店,PP 塑料,GB 4806.7-2023,大容量 塑料 密封 轻便,超大容量 适合带饭,seed,https://example.com/item/5,,2026-09-01
6,富光 太空杯 550ml,水杯,富光,19.9,4.6,30000,1000,富光自营店,自营,PP 塑料,GB 4806.7-2023,便携 塑料 轻便 易清洗,经典太空杯 轻量便携,seed,https://example.com/item/6,,2026-09-01
7,乐扣乐扣 运动水杯 650ml,水杯,乐扣乐扣,59.0,4.8,9800,260,乐扣乐扣官方旗舰店,官方旗舰店,PP 塑料,GB 4806.7-2023,便携 防漏 塑料 食品级,一键开合 运动便携,seed,https://example.com/item/7,,2026-09-01
8,特百惠 茶韵水杯 420ml,水杯,特百惠,49.0,4.7,7200,180,特百惠官方旗舰店,官方旗舰店,PP 塑料,GB 4806.7-2023,便携 塑料 密封 轻便 环保,简约吸管杯 随行随饮,seed,https://example.com/item/8,,2026-09-01
9,九阳 高硼硅玻璃水杯 380ml,水杯,九阳,69.0,4.7,5400,140,九阳官方旗舰店,官方旗舰店,高硼硅玻璃,GB 4806.5-2016,玻璃 高硼硅 耐高温 易清洗,加厚玻璃杯 耐冷热冲击,seed,https://example.com/item/9,,2026-09-01
10,希乐 儿童吸管杯 350ml,水杯,希乐,35.0,4.5,11000,320,希乐官方旗舰店,官方旗舰店,PP 塑料,GB 4806.7-2023,儿童 硅胶 便携 防漏 母婴,卡通吸管杯 母婴适用,seed,https://example.com/item/10,,2026-09-01
11,茶花 双层玻璃杯 300ml,水杯,茶花,45.0,4.6,8200,240,茶花官方旗舰店,官方旗舰店,高硼硅玻璃,GB 4806.5-2016,玻璃 双层 防烫 便携 高硼硅,双层防烫 透明杯身,seed,https://example.com/item/11,,2026-09-01
12,哈尔斯 真空保温杯 500ml,保温杯,哈尔斯,89.0,4.8,15000,400,哈尔斯官方旗舰店,官方旗舰店,不锈钢 316,GB 4806.9-2023,保温 不锈钢 大容量 抗菌,316不锈钢内胆 12小时保温,seed,https://example.com/item/12,,2026-09-01
13,哈尔斯 轻量保温杯 350ml,保温杯,哈尔斯,69.0,4.7,9000,260,哈尔斯官方旗舰店,官方旗舰店,不锈钢 304,GB 4806.9-2023,保温 不锈钢 轻便 便携,轻量杯身 单手开合,seed,https://example.com/item/13,,2026-09-01
14,九阳 大肚保温杯 1L,保温杯,九阳,99.0,4.7,13000,330,九阳官方旗舰店,官方旗舰店,不锈钢 316,GB 4806.9-2023,保温 大容量 不锈钢 便携,1L大容量 户外便携,seed,https://example.com/item/14,,2026-09-01
15,富光 保温杯 500ml,保温杯,富光,49.0,4.5,22000,600,富光自营店,自营,不锈钢 304,GB 4806.9-2023,保温 不锈钢 大容量,高性价比 双饮口,seed,https://example.com/item/15,,2026-09-01
16,希乐 无缝内胆保温杯 400ml,保温杯,希乐,59.0,4.6,7600,200,希乐官方旗舰店,官方旗舰店,不锈钢 316,GB 4806.9-2016,保温 不锈钢 抗菌 便携,无缝内胆 易清洗,seed,https://example.com/item/16,,2026-09-01
